ten_quan,dia_chi,so_dien_thoai,rating,gio_mo_cua,lat,lon,gia_trung_binh,thuc_don,hinh_anh,data_id,khau_vi,mo_ta
Tiệm Nhà Únu | Trà sữa ngon quận 3,"47 Nguyễn Phúc Nguyên, Phường 9, Quận 3, Thành phố Hồ Chí Minh 700000, Việt Nam",+84 932 764 725,5.0,Mở cửa lúc 8:00 ⋅ Đóng cửa vào 22:30,10.7789104,106.6808546,1-100.000 ₫,images/2.1.png;images/2.2.png,images/2.png,0x31752f006be7d78d:0xcf01153e4ef0ee60,"ngọt, đắng",
"Ulà Ngon - Trà Sữa Hạt Nông Sản, Matcha, Cafe Phin - Delivery Hub - Bến Thành, Q1","8 Đặng Trần Côn, Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh 700000, Việt Nam",+84 949 603 903,5.0,Mở cửa lúc 8:00 ⋅ Đóng cửa vào 21:00,10.772302,106.6941761,,images/3.1.png;images/3.2.png,images/3.png,0x31752feeca0a6b99:0x3a95ecd8c557b877,"ngọt, đắng",
Trà Sữa ToCoToCo Cống Quỳnh,"150 Đ. Cống Quỳnh, Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh 700000, Việt Nam",+84 1900 636936,4.2,Mở cửa lúc 8:00 ⋅ Đóng cửa vào 23:00,10.7658806,106.6898921,1-100.000 ₫,images/4.1.png;images/4.2.png,images/4.png,0x31752fbbbea8376f:0x10a1c9562f947070,"ngọt, đắng",
Trà Sữa Hi-GoGo Nguyễn Thông,"57C Nguyễn Thông, Phường 9, Quận 3, Thành phố Hồ Chí Minh 700000, Việt Nam",+84 934 004 893,4.6,Mở cửa lúc 8:00 ⋅ Đóng cửa vào 22:00,10.780048,106.680791,1-100.000 ₫,images/5.1.png;images/5.2.png,images/5.png,0x31752fa720d0d3ff:0x2779850fabc3a75,"ngọt, đắng",
Trà sữa Hitea,"68 Nguyễn Thái Học, Phường Cầu Ông Lãnh, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",+84 703 399 919,4.3,Mở cửa lúc 8:00 ⋅ Đóng cửa vào 22:00,10.765699,106.697068,,images/6.1.png;images/6.2.png,images/6.png,0x31752fb3edae90b5:0x33864dc43fb9b83f,"ngọt, đắng",
Mì Cay & Trà Sữa - Sky Bubble Tea,"C00-07 Lô C, Chung cư Phạm Viết Chánh, Phường 19, Quận Bình Thạnh, TP, Thành phố Hồ Chí Minh 700000, Việt Nam",+84 931 441 811,4.7,Mở cửa lúc 8:00 ⋅ Đóng cửa vào 22:00,10.7909876,106.7112152,1-100.000 ₫,images/7.1.png;images/7.2.png;images/7.3.png,images/7.png,0x317529a9db18639f:0x5e43307e22e9c6ab,"cay, ngọt, đắng",
Trà sữa Thái Ngam I Lỉ,"15/32 Nguyễn Thị Minh Khai, Đa Kao, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",,4.6,Mở cửa lúc 7:00 ⋅ Đóng cửa vào 22:00,10.785051,106.701161,1-100.000 ₫,images/8.1.png;images/8.2.png,images/8.png,0x31752f4d07390af1:0xce532acca27bd2f4,"ngọt, đắng",
WOWTEA - Milo dầm & Trà sữa Q1,"116 Cô Bắc, Phường Cô Giang, Quận 1, Thành phố Hồ Chí Minh 70000, Việt Nam",+84 353 893 227,4.5,Mở cửa lúc 8:00 ⋅ Đóng cửa vào 22:00,10.7646763,106.6943572,1-100.000 ₫,images/9.1.png;images/9.2.png,images/9.png,0x31752f0edfe91b8b:0x50f6e9bea2d27b1e,"ngọt, đắng",
Trà Sữa ToCoToCo 83 Nguyễn Thái Học,"83 Nguyễn Thái Học, Phường Cầu Ông Lãnh, Quận 1, Thành phố Hồ Chí Minh 700000, Việt Nam",+84 1900 636936,3.7,Mở cửa lúc 8:00 ⋅ Đóng cửa vào 23:00,10.766991,106.695776,1-100.000 ₫,images/10.1.png;images/10.2.png,images/10.png,0x31752f158e3b7535:0x4c0b9192b23f798d,"ngọt, đắng",
Trà Sữa ToCoToCo Nguyễn Thái Bình,"245 Nguyễn Thái Bình, Phường Cầu Ông Lãnh, Quận 1, Thành phố Hồ Chí Minh 700000, Việt Nam",+84 1900 636936,4.0,Mở cửa lúc 7:00,10.7665022,106.696618,1-100.000 ₫,,,0x31752f501f0eed07:0x8433cea59ec1cb71,"ngọt, đắng",
Trà Sữa The 50 Tea - Võ Thị Sáu,"108 Võ Thị Sáu, Phường Tân Định, Quận 1, Thành phố Hồ Chí Minh 70000, Việt Nam",+84 901 645 133,4.6,Mở cửa lúc 7:00 ⋅ Đóng cửa vào 22:00,10.7883526,106.6919692,,images/12.1.png;images/12.2.png,images/12.png,0x31752f002986ae3f:0x6689a675e19db6e9,"ngọt, đắng",
TRÀ SỮA MẸ NẤU ÚT TRANG | TRÀ SỮA NGON QUẬN 3 | TRÀ SỮA NGON NGÔ THỜI NHIỆM,"17 Ngô Thời Nhiệm, Phường 6, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",+84 902 448 821,3.8,Mở cửa lúc 8:00 ⋅ Đóng cửa vào 21:00,10.7816285,106.6911013,1-100.000 ₫,images/13.1.png;images/13.2.png,images/13.png,0x31752fa40fd22355:0xf53e61fdf37629c5,"ngọt, đắng",
Trà sữa Tiên Hưởng,"645 Nguyễn Đình Chiểu, Phường 2, Quận 3, Thành phố Hồ Chí Minh 72418, Việt Nam",,4.8,Mở cửa lúc 7:00 ⋅ Đóng cửa vào 23:00,10.766522,106.6789689,1-100.000 ₫,images/14.1.png;images/14.2.png,images/14.png,0x31752f000ef402e5:0x7d7ec4aae7051c23,"ngọt, đắng",
"Trà Sữa TuTiMi - 71 Ngô Tất Tố, Phường 21, Quận Bình Thạnh","71 Ngô Tất Tố, Phường 19, Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",+84 702 165 955,4.3,Mở cửa lúc 8:00 ⋅ Đóng cửa vào 23:59,10.7928025,106.7116893,1-100.000 ₫,images/15.1.png;images/15.2.png,images/15.png,0x31752939b5ed2c27:0xf19d35f9ba47ab6b,"ngọt, đắng",
"Ulà Ngon - Trà Sữa Hạt Nông Sản, Matcha, Cafe Phin - Delivery Hub - NTMK, Q1","7/9B Nguyễn Thị Minh Khai, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 70000, Việt Nam",+84 949 603 903,4.8,Mở cửa lúc 7:00 ⋅ Đóng cửa vào 21:00,10.7873732,106.7029534,,images/16.1.png;images/16.2.png,images/16.png,0x31752f729cc60d27:0x39b69bf142f13ade,"ngọt, đắng",
Trà Sữa Kubin,"35 Nguyễn Phúc Nguyên, Phường 9, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",+84 986 019 710,4.1,Mở cửa lúc 7:00 ⋅ Đóng cửa vào 21:00,10.7786219,106.6810705,1-100.000 ₫,images/17.1.png;images/17.2.png,images/17.png,0x31752f261a000393:0x1f286942fddde726,"ngọt, đắng",
