ten_quan,dia_chi,so_dien_thoai,rating,gio_mo_cua,lat,lon
Cơm Tấm Sà Bì Chưởng - Trần Bình Trọng,"179 Đường Trần Bình Trọng, Phường 2, Quận 5, Thành phố Hồ Chí Minh 700000, Việt Nam",+84 971 095 261,4.7,Đã đóng cửa ⋅ Mở lúc 7:00 Th 3,10.758552,106.68044909999999
Cơm tấm Tài 476 Nguyễn Tri Phương (Tai Broken Rice Restaurant),"476 Nguyễn Tri Phương, Phường 9, Quận 10, Thành phố Hồ Chí Minh, Việt Nam",+84 981 828 809,4.3,Đang mở cửa ⋅ Đóng cửa lúc 2:30,10.766862999999999,106.6674635
Cơm tấm Sương (hẻm 462 Nguyễn Tri Phương),"Hẻm 462 Nguyễn Tri Phương, Phường 9, Quận 10, Thành phố Hồ Chí Minh, Việt Nam",,4.8,Đã đóng cửa ⋅ Mở lúc 16:00 Th 3,10.7660527,106.66773599999999
Cơm tấm Út,"6Y Đ. Hưng Phú, Khu Phố 2, Quận 8, Thành phố Hồ Chí Minh, Việt Nam",,4.8,Đang mở cửa ⋅ Đóng cửa lúc 2:00,10.745497499999999,106.66906709999999
Cơm tấm đêm dì Bảy,"364 Lý Thái Tổ, Phường 1, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",,4.6,Đang mở cửa ⋅ Đóng cửa lúc 0:35,10.7677938,106.6748296
Cơm Tấm 44,"185 Đường Trần Bình Trọng, Phường 2, Quận 5, Thành phố Hồ Chí Minh, Việt Nam",+84 767 623 123,4.2,Đang mở cửa ⋅ Đóng cửa lúc 0:00,10.758676699999999,106.6804726
Quán Cơm Tấm 95,"95 Lò Siêu, Phường 16, Quận 11, Thành phố Hồ Chí Minh, Việt Nam",+84 906 766 322,4.2,Sắp đóng cửa ⋅ 23:00 ⋅ Mở lúc 5:00 Th 3,10.7558551,106.6484698
Cơm Tấm Sườn Cọng,"329 Hùng Vương, Phường 9, Quận 5, Thành phố Hồ Chí Minh, Việt Nam",+84 904 357 202,5.0,Đang mở cửa ⋅ Đóng cửa lúc 1:00,10.757765599999999,106.66987239999999
Cơm Tấm Phúc Lộc Thọ - Lý Thường Kiệt,"144 Đ. Lý Thường Kiệt, Phường 14, Quận 10, Thành phố Hồ Chí Minh 700000, Việt Nam",+84 908 209 569,4.4,Đã đóng cửa ⋅ Mở lúc 6:00 Th 3,10.7641046,106.6600917
Cơm Tấm Hồng Phát,"570A Đ. Hồng Bàng, Phường 16, Quận 11, Thành phố Hồ Chí Minh, Việt Nam",,4.4,Đã đóng cửa ⋅ Mở lúc 10:00 Th 3,10.7540835,106.646125
Cơm Tấm 229 Vĩnh Viễn,"229 Vĩnh Viễn, Phường 4, Quận 10, Thành phố Hồ Chí Minh, Việt Nam",+84 932 495 987,4.3,Đã đóng cửa ⋅ Mở lúc 7:30 Th 3,10.763924399999999,106.6689676
Quán Cơm Tấm Bà Mười,"178 Lạc Long Quân, Phường 10, Quận 11, Thành phố Hồ Chí Minh, Việt Nam",+84 909 321 415,4.5,Đã đóng cửa ⋅ Mở lúc 16:00 Th 3,10.7609607,106.6422453
Cơm Tấm Bà Già,"122 Đ. Minh Phụng, Phường 2, Quận 6, Thành phố Hồ Chí Minh 700000, Việt Nam",,4.8,Đã đóng cửa ⋅ Mở lúc 6:30 Th 3,10.7502202,106.64255469999999
Cơm Tấm Cô Hồng,"212B Lê Hồng Phong, Phường 4, Quận 5, Thành phố Hồ Chí Minh 70000, Việt Nam",+84 908 949 266,4.3,Đã đóng cửa ⋅ Mở lúc 7:00 Th 6,10.7597437,106.677421
CƠM TẤM 178 (cơm tấm ma),"178 Đ. Hậu Giang, Phường 2, Quận 6, Thành phố Hồ Chí Minh, Việt Nam",,4.0,Đang mở cửa ⋅ Đóng cửa lúc 1:00,10.750074,106.6435362
Cơm Tấm Nắng Mưa,"phường 1, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",+84 767 385 068,5.0,Đã đóng cửa ⋅ Mở lúc 17:00 Th 3,10.7677868,106.6771924
Cơm Tấm Ba Há,"389 Đ. Hưng Phú, Phường Hưng Phú, Quận 8, Thành phố Hồ Chí Minh, Việt Nam",+84 909 771 192,4.2,Đã đóng cửa ⋅ Mở lúc 16:00 Th 3,10.7475168,106.6749447
Cơm Tấm Phương Linh,"Phường 2, Quận 10, Thành phố Hồ Chí Minh, Việt Nam",+84 908 435 138,5.0,,10.7631527,106.672511
Cơm tấm Ngon,"494 Đ. Hưng Phú, Phường Hưng Phú, Quận 8, Thành phố Hồ Chí Minh, Việt Nam",,4.3,Đã đóng cửa ⋅ Mở lúc 7:00 Th 3,10.747013299999999,106.67195729999999
Cơm Tấm Lệ,"198 Đ. Nguyễn Duy Dương, Phường 2, Quận 10, Thành phố Hồ Chí Minh, Việt Nam",,5.0,,10.7618449,106.67096439999999
